Code,Name,Earnings Data,52 week Range,Est_Q1,Est_Q2,Est_Q3,Est_Q4,Act_Q1,Act_Q2,Act_Q3,Act_Q4,CSV File Path
BLPH,Bellerophon Therapeutics  Inc.,Mar 20  2017 - Mar 24  ,0.43 - 4.58,-1.06,-0.66,-0.51,-0.42,-0.82,-0.54,-0.39,-0.3,../test/Nasdaq/BLPH/BLPH.csv,
NICE,NICE Ltd,,,null,,
ASYS,Amtech Systems  Inc.,May 3  2017 - May 8  ,3.99 - 7.83,-0.44,-0.27,-0.08,-0.25,-0.11,-0.09,-0.02,N/A,../test/Nasdaq/ASYS/ASYS.csv,
EVLV,EVINE Live Inc.,Mar 21  2017 - Mar 27  ,0.69 - 2.40,0.01,-0.1,-0.04,-0.03,0.01,-0.09,-0.03,-0.06,../test/Nasdaq/EVLV/EVLV.csv,
SFST,Southern First Bancshares  Inc.,Oct 21  2016 - Oct 24  ,22.30 - 38.55,0.39,0.45,0.48,0.48,0.45,0.49,0.51,0.49,../test/Nasdaq/SFST/SFST.csv,
GTIM,Good Times Restaurants Inc.,May 8  2017 - May 12  ,2.75 - 4.48,-0.07,0.02,-0.03,-0.07,-0.05,0.04,-0.01,-0.05,../test/Nasdaq/GTIM/GTIM.csv,
SALM,Salem Media Group  Inc.,Mar 7  2017 - Mar 13  ,4.78 - 8.17,0.02,0.03,0.1,0.12,0.18,0.01,0.13,0.08,../test/Nasdaq/SALM/SALM.csv,
OXBRW,Oxbridge Re Holdings Limited,,,null,,
VBIV,VBI Vaccines  Inc.,,,null,,
FNJN,Finjan Holdings  Inc.,Mar 27  2017 - Mar 31  ,0.87 - 2.35,0.01,-0.05,-0.03,-0.19,-0.21,-0.05,-0.2,-0.2,../test/Nasdaq/FNJN/FNJN.csv,
SPEX,Spherix Incorporated,,,null,,
DLTH,Duluth Holdings Inc.,Mar 21  2017 ,17.02 - 38.19,0.28,0.07,0.07,N/A,0.37,0.1,0.11,0.01,../test/Nasdaq/DLTH/DLTH.csv,
SGBK,Stonegate Bank,Apr 24  2017 - Apr 28  ,29.06 - 47.88,0.52,0.52,0.55,0.53,0.51,0.51,0.49,0.62,../test/Nasdaq/SGBK/SGBK.csv,
VBLT,Vascular Biogenics Ltd.,Mar 27  2017 - Mar 31  ,3.03 - 7.58,-0.32,-0.21,-0.23,-0.15,-0.14,-0.21,-0.14,-0.12,../test/Nasdaq/VBLT/VBLT.csv,
ABAX,ABAXIS  Inc.,Apr 26  2017 - May 1  ,40.97 - 55.95,0.32,0.32,0.35,0.31,0.36,0.3,0.34,0.3,../test/Nasdaq/ABAX/ABAX.csv,
FKU,First Trust United Kingdom Alph,,,null,,
FVE,Five Star Senior Living Inc.,Feb 28  2017 - Mar 6  ,1.65 - 3.04,-0.02,-0.1,-0.06,-0.11,-0.06,-0.16,-0.12,-0.11,../test/Nasdaq/FVE/FVE.csv,
DEST,Destination Maternity Corporati,Mar 27  2017 - Mar 31  ,4.83 - 10.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/DEST/DEST.csv,
ASUR,Asure Software Inc,Mar 28  2017 - Apr 3  ,4.45 - 13.00,0.11,0.02,-0.02,0.07,-0.08,-0.11,0.15,0.1,../test/Nasdaq/ASUR/ASUR.csv,
GILD,Gilead Sciences  Inc.,Apr 26  2017 - May 1  ,65.38 - 103.10,3.15,3.02,2.86,2.61,3.03,3.08,2.75,2.7,../test/Nasdaq/GILD/GILD.csv,
GPP,Green Plains Partners LP,May 1  2017 - May 5  ,12.56 - 21.75,0.38,0.4,0.43,0.47,0.38,0.43,0.44,0.5,../test/Nasdaq/GPP/GPP.csv,
SUMR,Summer Infant  Inc.,Feb 22  2017 - Feb 27  ,1.22 - 2.44,0.04,0.01,0.05,0.02,0.03,0.05,0.02,-0.08,../test/Nasdaq/SUMR/SUMR.csv,
MEOH,Methanex Corporation,,,null,,
ASBB,ASB Bancorp  Inc.,,,null,,
NXPI,NXP Semiconductors N.V.,Apr 24  2017 - Apr 28  ,73.62 - 107.54,1.09,1.35,1.6,1.65,1.14,1.39,1.65,1.75,../test/Nasdaq/NXPI/NXPI.csv,
BYBK,Bay Bancorp  Inc.,Apr 26  2017 - May 1  ,5.14 - 8.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/BYBK/BYBK.csv,
FATE,Fate Therapeutics  Inc.,Mar 1  2017 - Mar 6  ,1.47 - 5.25,-0.27,-0.25,-0.32,-0.29,-0.26,-0.29,-0.29,-0.27,../test/Nasdaq/FATE/FATE.csv,
LRCX,Lam Research Corporation,Apr 18  2017 - Apr 24  ,72.00 - 120.88,1.1,1.64,1.78,2.19,1.18,1.8,1.81,2.24,../test/Nasdaq/LRCX/LRCX.csv,
PERY,Perry Ellis International Inc.,Apr 10  2017 - Apr 14  ,16.24 - 29.00,0.35,0.9,0.01,0.15,0.35,1.01,0.15,0.23,../test/Nasdaq/PERY/PERY.csv,
RUSHB,Rush Enterprises  Inc.,,,null,,
NCIT,NCI  Inc.,Feb 9  2017 - Feb 13  ,10.98 - 15.25,0.21,0.21,0.23,0.23,0.27,0.24,0.23,0.24,../test/Nasdaq/NCIT/NCIT.csv,
SHSP,SharpSpring  Inc.,Feb 17  2017 - Feb 20  ,3.06 - 6.30,-0.07,-0.07,-0.03,-0.08,-0.05,-0.02,0.01,-0.08,../test/Nasdaq/SHSP/SHSP.csv,
STLRU,Stellar Acquisition III Inc.,,,null,,
OFLX,Omega Flex  Inc.,Apr 18  2017 - Apr 24  ,31.53 - 64.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/OFLX/OFLX.csv,
SOCL,Global X Social Media ETF,,,null,,
KLRE,KLR Energy Acquisition Corp.,,,null,,
NANO,Nanometrics Incorporated,Apr 24  2017 - Apr 28  ,13.58 - 28.87,0.06,0.27,0.28,0.27,0.16,0.26,0.33,0.33,../test/Nasdaq/NANO/NANO.csv,
CERS,Cerus Corporation,Mar 6  2017 - Mar 10  ,3.79 - 7.64,-0.17,-0.17,-0.17,-0.16,-0.17,-0.18,-0.14,-0.13,../test/Nasdaq/CERS/CERS.csv,
MBWM,Mercantile Bank Corporation,Apr 17  2017 - Apr 21  ,21.05 - 38.68,0.4,0.42,0.46,0.46,0.52,0.46,0.48,0.49,../test/Nasdaq/MBWM/MBWM.csv,
NHTC,NATURAL HEALTH TREND,Apr 25  2017 - May 1  ,20.59 - 38.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/NHTC/NHTC.csv,
ECOL,US Ecology  Inc.,Apr 26  2017 - May 1  ,38.00 - 54.00,0.28,0.41,0.56,0.43,0.32,0.37,0.47,0.36,../test/Nasdaq/ECOL/ECOL.csv,
TRS,TriMas Corporation,Feb 23  2017 - Feb 27  ,15.63 - 24.25,0.26,0.34,0.34,0.3,0.27,0.34,0.35,0.3,../test/Nasdaq/TRS/TRS.csv,
BECN,Beacon Roofing Supply  Inc.,May 1  2017 - May 5  ,38.03 - 49.32,-0.21,0.76,0.91,0.43,0.03,0.77,0.88,0.44,../test/Nasdaq/BECN/BECN.csv,
UNTY,Unity Bancorp  Inc.,Apr 24  2017 - Apr 28  ,9.33 - 18.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/UNTY/UNTY.csv,
CLLS,Cellectis S.A.,,,null,,
AVIR,Aviragen Therapeutics  Inc.,May 3  2017 - May 8  ,0.56 - 2.00,-0.18,0.25,-0.28,-0.26,-0.14,-0.18,-0.26,-0.24,../test/Nasdaq/AVIR/AVIR.csv,
ETSY,Etsy  Inc.,Feb 20  2017 - Feb 24  ,7.60 - 16.05,-0.02,-0.01,-0.02,0.02,0.01,-0.06,-0.02,-0.19,../test/Nasdaq/ETSY/ETSY.csv,
AMSC,American Superconductor Corpora,Feb 7  2017 - Feb 13  ,5.90 - 12.50,-0.6,-0.92,-0.72,-0.32,-0.28,-0.64,-0.6,-0.21,../test/Nasdaq/AMSC/AMSC.csv,
IRDM,Iridium Communications Inc,Feb 23  2017 - Feb 27  ,6.80 - 11.54,0.2,0.25,0.24,0.2,0.23,0.22,0.26,0.19,../test/Nasdaq/IRDM/IRDM.csv,
PRFZ,PowerShares FTSE RAFI US 1500 S,,,null,,
SSNC,SS C Technologies Holdings  Inc,May 3  2017 - May 8  ,26.15 - 37.48,0.36,0.38,0.41,0.44,0.37,0.39,0.42,0.46,../test/Nasdaq/SSNC/SSNC.csv,
EAGLW,Double Eagle Acquisition Corp.,,,null,,
GIFI,Gulf Island Fabrication  Inc.,Feb 23  2017 - Feb 27  ,6.34 - 13.95,-0.02,0.06,0.04,0.03,0.07,0.37,0.04,-0.24,../test/Nasdaq/GIFI/GIFI.csv,
TESS,TESSCO Technologies Incorporate,May 8  2017 - May 12  ,9.75 - 18.18,-0.04,0.24,0.11,0.21,-0.13,0.01,0.12,0.15,../test/Nasdaq/TESS/TESS.csv,
UBSI,United Bankshares  Inc.,Apr 26  2017 - May 1  ,34.50 - 49.35,0.48,0.49,0.52,0.51,0.5,0.44,0.54,0.51,../test/Nasdaq/UBSI/UBSI.csv,
MIIIU,M III Acquisition Corp.,,,null,,
FORR,Forrester Research  Inc.,Apr 25  2017 - May 1  ,30.91 - 44.40,0.18,0.33,0.29,0.22,0.18,0.46,0.32,0.38,../test/Nasdaq/FORR/FORR.csv,
BLVDU,Boulevard Acquisition Corp. II,,,null,,
BRKL,Brookline Bancorp  Inc.,Apr 18  2017 - Apr 24  ,10.40 - 17.45,0.17,0.18,0.18,0.19,0.18,0.18,0.19,0.19,../test/Nasdaq/BRKL/BRKL.csv,
FSAM,Fifth Street Asset Management I,Mar 15  2017 - Mar 20  ,2.91 - 8.45,0.17,0.14,0.11,0.15,0.18,0.12,0.2,0.2,../test/Nasdaq/FSAM/FSAM.csv,
SPNC,The Spectranetics Corporation,,,null,,
SLRC,Solar Capital Ltd.,Feb 22  2017 - Feb 27  ,16.87 - 22.54,0.4,0.41,0.44,0.42,0.4,0.46,0.4,0.42,../test/Nasdaq/SLRC/SLRC.csv,
TLND,Talend S.A.,,,null,,
PBCTP,People s United Financial  Inc.,,,null,,
RADA,RADA Electronic Industries Ltd.,Nov 18  2016 - Nov 21  ,0.64 - 1.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/RADA/RADA.csv,
CSX,CSX Corporation,Apr 10  2017 - Apr 17  ,24.36 - 50.31,0.37,0.44,0.45,0.5,0.37,0.47,0.48,0.49,../test/Nasdaq/CSX/CSX.csv,
MATW,Matthews International Corporat,Apr 26  2017 - May 1  ,47.50 - 77.85,0.67,0.92,0.97,0.64,0.75,0.97,1.08,0.62,../test/Nasdaq/MATW/MATW.csv,
SBBP,Strongbridge Biopharma plc,,,null,,
IGOV,iShares S P/Citigroup Internati,,,null,,
CHFN,Charter Financial Corp.,Apr 26  2017 - May 1  ,12.36 - 20.10,0.15,0.19,0.23,0.22,0.14,0.09,0.26,0.33,../test/Nasdaq/CHFN/CHFN.csv,
NEWTL,Newtek Business Services Corp.,,,null,,
GHDX,Genomic Health  Inc.,May 2  2017 - May 8  ,22.00 - 33.96,-0.24,-0.18,-0.09,-0.01,-0.19,-0.18,-0.08,0.04,../test/Nasdaq/GHDX/GHDX.csv,
MOFG,MidWestOne Financial Group  Inc,Apr 26  2017 - May 1  ,25.49 - 39.20,0.61,0.59,0.58,0.55,0.48,0.42,0.54,0.34,../test/Nasdaq/MOFG/MOFG.csv,
APOPW,Cellect Biotechnology Ltd.,,,null,,
JNCE,Jounce Therapeutics  Inc.,,,null,,
TSBK,Timberland Bancorp  Inc.,Jan 23  2017 - Jan 27  ,12.31 - 22.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/TSBK/TSBK.csv,
ISLE,Isle of Capri Casinos  Inc.,Feb 21  2017 - Feb 27  ,11.38 - 25.93,0.54,0.3,0.2,0.19,0.62,0.26,0.13,0.17,../test/Nasdaq/ISLE/ISLE.csv,
PAACU,Pacific Special Acquisition Cor,,,null,,
CAC,Camden National Corporation,Apr 24  2017 - Apr 28  ,26.67 - 45.43,0.59,0.62,0.64,0.67,0.57,0.62,0.7,0.7,../test/Nasdaq/CAC/CAC.csv,
SSBI,Summit State Bank,Apr 24  2017 - Apr 28  ,13.10 - 19.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/SSBI/SSBI.csv,
HYXE,iShares iBoxx $ High Yield ex O,,,null,,
INTX,Intersections  Inc.,Mar 20  2017 - Mar 24  ,1.70 - 4.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/INTX/INTX.csv,
PLXS,Plexus Corp.,Apr 18  2017 - Apr 24  ,36.77 - 58.74,0.52,0.77,0.8,0.77,0.55,0.82,0.67,0.82,../test/Nasdaq/PLXS/PLXS.csv,
SREV,ServiceSource International  In,Feb 20  2017 - Feb 24  ,3.52 - 6.25,-0.03,-0.01,-0.01,0.03,-0.01,0.01,0.02,0.02,../test/Nasdaq/SREV/SREV.csv,
BNDX,Vanguard Total International Bo,,,null,,
AAPC,Atlantic Alliance Partnership C,,,null,,
EBTC,Enterprise Bancorp Inc,Apr 19  2017 - Apr 24  ,21.36 - 39.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/EBTC/EBTC.csv,
SPCB,SuperCom  Ltd.,Sep 15  2016 - Sep 19  ,2.44 - 4.99,0.06,0.15,0.07,-0.05,0.06,0.06,0.01,-0.03,../test/Nasdaq/SPCB/SPCB.csv,
GNMK,GenMark Diagnostics  Inc.,Feb 21  2017 - Feb 27  ,4.66 - 13.43,-0.29,-0.33,-0.31,-0.27,-0.3,-0.3,-0.27,-0.27,../test/Nasdaq/GNMK/GNMK.csv,
BVXV,BiondVax Pharmaceuticals Ltd.,,,null,,
BICK,First Trust BICK Index Fund,,,null,,
CARO,Carolina Financial Corporation,Apr 20  2017 - Apr 24  ,15.82 - 31.50,0.28,0.36,0.38,0.42,0.3,0.23,0.47,0.41,../test/Nasdaq/CARO/CARO.csv,
MCHI,iShares MSCI China ETF,,,null,,
FCFP,First Community Financial Partn,Apr 25  2017 - May 1  ,7.11 - 13.65,0.14,0.13,0.13,0.16,0.12,0.13,0.24,0.15,../test/Nasdaq/FCFP/FCFP.csv,
USEG,U.S. Energy Corp.,Mar 11  2016 - Mar 14  ,0.75 - 2.84,0.04,-0.48,-0.6,-0.54,N/A,-0.48,-0.96,-0.66,../test/Nasdaq/USEG/USEG.csv,
AIRR,First Trust RBA American Indust,,,null,,
CLNE,Clean Energy Fuels Corp.,Mar 1  2017 - Mar 6  ,2.38 - 4.80,-0.18,-0.14,-0.1,-0.09,0.03,0.01,-0.1,-0.03,../test/Nasdaq/CLNE/CLNE.csv,
HCAC,DASEKE INC,,,null,,
EMCF,Emclaire Financial Corp,Apr 24  2017 - Apr 28  ,23.00 - 31.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/EMCF/EMCF.csv,
STML,Stemline Therapeutics  Inc.,Mar 13  2017 - Mar 17  ,4.06 - 14.60,-0.57,-0.59,-0.55,-0.54,-0.58,-0.51,-0.52,-0.56,../test/Nasdaq/STML/STML.csv,
FRPH,FRP Holdings  Inc.,Feb 1  2017 - Feb 6  ,28.90 - 45.50,0.21,0.18,0.22,0.2,0.09,0.21,0.21,0.17,../test/Nasdaq/FRPH/FRPH.csv,
CTAS,Cintas Corporation,Mar 20  2017 - Mar 24  ,85.86 - 122.21,0.95,1,1.09,1.15,1.05,1.08,1.26,1.13,../test/Nasdaq/CTAS/CTAS.csv,
ABAC,Aoxin Tianli Group  Inc.,Mar 13  2017 - Mar 17  ,1.51 - 4.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ABAC/ABAC.csv,
MSDIW,Monster Digital  Inc.,,,null,,
IXUS,iShares Core MSCI Total Interna,,,null,,
OSBC,Old Second Bancorp  Inc.,Apr 18  2017 - Apr 24  ,6.37 - 11.64,0.11,0.13,0.15,0.15,0.11,0.13,0.12,0.17,../test/Nasdaq/OSBC/OSBC.csv,
EMCI,EMC Insurance Group Inc.,May 4  2017 - May 8  ,23.45 - 31.47,0.6,0.21,0.23,0.85,0.74,0.24,0.23,0.86,../test/Nasdaq/EMCI/EMCI.csv,
FORK,Fuling Global Inc.,,,null,,
LFVN,Lifevantage Corporation,May 2  2017 - May 8  ,4.61 - 15.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/LFVN/LFVN.csv,
LNDC,Landec Corporation,Mar 28  2017 - Apr 3  ,9.65 - 15.50,0.03,0.15,0.1,0.06,0.01,0.17,0.12,0.05,../test/Nasdaq/LNDC/LNDC.csv,
SPLS,Staples  Inc.,Mar 2  2017 - Mar 6  ,7.24 - 11.37,0.28,0.16,0.12,0.34,0.26,0.17,0.12,0.34,../test/Nasdaq/SPLS/SPLS.csv,
IFGL,iShares FTSE EPRA/NAREIT Global,,,null,,
SNHNI,Senior Housing Properties Trust,,,null,,
CARB,Carbonite  Inc.,May 1  2017 - May 5  ,7.27 - 21.50,-0.05,0.03,0.07,0.11,0.15,0.19,0.14,0.12,../test/Nasdaq/CARB/CARB.csv,
AQMS,Aqua Metals  Inc.,Mar 6  2017 - Mar 10  ,5.88 - 19.83,-0.15,-0.15,-0.19,-0.22,-0.15,-0.2,-0.23,-0.3,../test/Nasdaq/AQMS/AQMS.csv,
BPOPM,Popular  Inc.,,,null,,
SYUT,Synutra International  Inc.,Feb 3  2017 - Feb 7  ,3.25 - 5.90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/SYUT/SYUT.csv,
CA,CA Inc.,May 9  2017 - May 15  ,29.12 - 34.99,0.57,0.61,0.62,0.61,0.6,0.64,0.67,0.63,../test/Nasdaq/CA/CA.csv,
CINF,Cincinnati Financial Corporatio,Apr 24  2017 - Apr 28  ,63.87 - 79.60,0.7,0.43,0.78,0.66,0.89,0.57,0.86,0.75,../test/Nasdaq/CINF/CINF.csv,
IKNX,Ikonics Corporation,Feb 17  2017 - Feb 20  ,9.50 - 13.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/IKNX/IKNX.csv,
FSBW,FS Bancorp  Inc.,,,null,,
IMMR,Immersion Corporation,Feb 23  2017 - Feb 27  ,5.90 - 11.92,-0.07,-0.15,0.27,-0.17,-0.04,-0.2,0.34,-0.27,../test/Nasdaq/IMMR/IMMR.csv,
ITIC,Investors Title Company,May 2  2017 - May 8  ,82.13 - 174.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ITIC/ITIC.csv,
ERII,Energy Recovery  Inc.,Mar 1  2017 - Mar 6  ,7.77 - 16.67,0.36,0.01,-0.05,0.06,0.01,-0.04,0.01,-0.01,../test/Nasdaq/ERII/ERII.csv,
SHOS,Sears Hometown and Outlet Store,Mar 22  2017 - Mar 27  ,3.05 - 7.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/SHOS/SHOS.csv,
ESGG,FlexShares STOXX Global ESG Imp,,,null,,
KONE,Kingtone Wirelessinfo Solution,,,null,,
RESN,Resonant Inc.,Mar 21  2017 - Mar 27  ,1.84 - 6.76,-0.31,-0.24,-0.32,-0.36,-0.31,-0.42,-0.34,-0.39,../test/Nasdaq/RESN/RESN.csv,
CCD,Calamos Dynamic Convertible I,,,null,,
SLIM,The Obesity ETF,,,null,,
ENTA,Enanta Pharmaceuticals  Inc.,May 8  2017 - May 12  ,20.79 - 37.31,0.1,-0.1,-0.14,-0.18,-0.09,-0.06,-0.09,-0.26,../test/Nasdaq/ENTA/ENTA.csv,
FYT,First Trust Small Cap Value Alp,,,null,,
FOX,Twenty-First Century Fox  Inc.,,,null,,
OACQU,Origo Acquisition Corporation,,,null,,
DXKW,WisdomTree Korea Hedged Equity,,,null,,
CCLP,CSI Compressco LP,May 9  2017 ,8.63 - 13.54,-0.06,-0.11,-0.12,-0.11,-3.11,-0.14,-0.47,-0.31,../test/Nasdaq/CCLP/CCLP.csv,
BZUN,Baozun Inc.,Feb 27  2017 - Mar 3  ,9.31 - 18.61,0.03,0.02,0.07,0.17,0.04,0.02,0.08,0.18,../test/Nasdaq/BZUN/BZUN.csv,
PERI,Perion Network Ltd,Mar 13  2017 - Mar 17  ,0.94 - 2.56,0.06,0.09,0.1,0.12,0.09,0.08,0.1,0.08,../test/Nasdaq/PERI/PERI.csv,
IRBT,iRobot Corporation,Apr 25  2017 ,32.19 - 63.99,0.01,0.1,0.43,0.41,0.13,0.17,0.7,0.49,../test/Nasdaq/IRBT/IRBT.csv,
PFBI,Premier Financial Bancorp  Inc.,Mar 6  2017 - Mar 10  ,14.60 - 21.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/PFBI/PFBI.csv,
CSFL,CenterState Banks  Inc.,Apr 24  2017 - Apr 28  ,14.15 - 26.30,0.25,0.28,0.31,0.32,0.3,0.32,0.32,0.33,../test/Nasdaq/CSFL/CSFL.csv,
ESGU,iShares MSCI USA ESG Optimized,,,null,,
OIIM,O2Micro International Limited,May 2  2017 - May 8  ,1.56 - 2.80,-0.1,-0.13,-0.01,-0.03,-0.09,-0.08,0.05,N/A,../test/Nasdaq/OIIM/OIIM.csv,
SCSS,Select Comfort Corporation,Apr 26  2017 - May 1  ,17.40 - 28.34,0.2,0.01,0.57,0.32,0.27,0.03,0.56,0.25,../test/Nasdaq/SCSS/SCSS.csv,
PUB,People s Utah Bancorp,Apr 25  2017 - May 1  ,14.73 - 27.85,0.27,0.29,0.31,0.33,0.29,0.31,0.34,0.36,../test/Nasdaq/PUB/PUB.csv,
SAEX,SAExploration Holdings  Inc.,Mar 7  2017 - Mar 13  ,4.41 - 151.20,-0.28,0.15,0.18,-0.01,-60.75,10.8,18.9,-27,../test/Nasdaq/SAEX/SAEX.csv,
OASM,Oasmia Pharmaceutical AB,,,null,,
ESGR,Enstar Group Limited,Feb 27  2017 - Mar 3  ,148.91 - 209.35,6.27,0.8,1.92,3.24,5.85,2.35,2.09,8.02,../test/Nasdaq/ESGR/ESGR.csv,
FBMS,The First Bancshares  Inc.,Apr 19  2017 - Apr 24  ,15.32 - 30.80,0.4,0.42,0.44,0.41,0.43,0.45,0.48,0.3,../test/Nasdaq/FBMS/FBMS.csv,
CIBR,First Trust NASDAQ Cybersecurit,,,null,,
CLBH,Carolina Bank Holdings Inc.,Apr 26  2017 - May 1  ,14.55 - 29.25,0.28,0.27,0.34,0.33,0.21,0.22,0.34,0.33,../test/Nasdaq/CLBH/CLBH.csv,
ESRX,Express Scripts Holding Company,Apr 24  2017 - Apr 28  ,64.46 - 80.02,1.22,1.57,1.74,1.87,1.22,1.57,1.74,1.88,../test/Nasdaq/ESRX/ESRX.csv,
AMD,Advanced Micro Devices  Inc.,May 4  2017 ,2.29 - 15.55,-0.13,-0.08,N/A,-0.02,-0.12,-0.05,0.03,-0.01,../test/Nasdaq/AMD/AMD.csv,
HPT,Hospitality Properties Trust,Feb 22  2017 - Feb 27  ,26.06 - 32.63,0.28,0.47,0.42,0.32,0.31,0.34,0.3,0.35,../test/Nasdaq/HPT/HPT.csv,
BDSI,BioDelivery Sciences Internatio,Mar 8  2017 - Mar 13  ,1.50 - 4.00,0.55,-0.35,-0.31,-0.25,0.19,-0.36,-0.31,-0.3,../test/Nasdaq/BDSI/BDSI.csv,
FGM,First Trust Germany AlphaDEX Fu,,,null,,
LOGI,Logitech International S.A.,,,null,,
CCRN,Cross Country Healthcare  Inc.,Mar 7  2017 - Mar 13  ,9.88 - 16.38,0.07,0.13,0.15,0.22,0.09,0.16,0.24,0.2,../test/Nasdaq/CCRN/CCRN.csv,
BSRR,Sierra Bancorp,Apr 24  2017 - Apr 28  ,15.61 - 29.50,0.34,0.33,0.32,0.34,0.3,0.31,0.28,0.4,../test/Nasdaq/BSRR/BSRR.csv,
PMD,Psychemedics Corporation,Apr 24  2017 - Apr 28  ,10.81 - 27.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/PMD/PMD.csv,
NSSC,NAPCO Security Technologies  In,May 8  2017 - May 12  ,5.57 - 10.15,0.08,0.04,0.18,0.04,0.05,0.06,0.18,0.05,../test/Nasdaq/NSSC/NSSC.csv,
MACK,Merrimack Pharmaceuticals  Inc.,Feb 23  2017 - Feb 27  ,2.83 - 9.02,-0.38,-0.33,-0.27,-0.21,-0.33,-0.4,-0.23,-0.25,../test/Nasdaq/MACK/MACK.csv,
IFMK,iFresh Inc.,,,null,,
ECPG,Encore Capital Group Inc,Feb 22  2017 - Feb 27  ,17.66 - 35.92,1.27,1.21,1.23,0.67,1.31,1.29,0.14,0.72,../test/Nasdaq/ECPG/ECPG.csv,
INVT,Inventergy Global  Inc.,,,null,,
SNHY,Sun Hydraulics Corporation,Feb 27  2017 - Mar 3  ,27.69 - 42.00,0.32,0.27,0.2,0.15,0.31,0.26,0.19,0.12,../test/Nasdaq/SNHY/SNHY.csv,
DVAX,Dynavax Technologies Corporatio,Mar 6  2017 - Mar 10  ,3.20 - 23.62,-0.75,-0.63,-0.68,-0.75,-0.7,-0.7,-0.75,-0.9,../test/Nasdaq/DVAX/DVAX.csv,
BOSC,B.O.S. Better Online Solutions,Mar 21  2017 ,1.68 - 4.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/BOSC/BOSC.csv,
PPBI,Pacific Premier Bancorp Inc,Apr 18  2017 - Apr 24  ,20.05 - 41.90,0.36,0.42,0.42,0.41,0.33,0.37,0.33,0.43,../test/Nasdaq/PPBI/PPBI.csv,
CASS,Cass Information Systems  Inc,Apr 17  2017 - Apr 21  ,45.05 - 74.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CASS/CASS.csv,
JOBS,51job  Inc.,Feb 28  2017 - Mar 6  ,31.58 - 37.93,0.35,0.34,0.33,0.4,0.22,0.42,0.27,0.5,../test/Nasdaq/JOBS/JOBS.csv,
BIOC,Biocept  Inc.,Mar 7  2017 - Mar 13  ,0.74 - 4.95,-0.69,-0.66,-0.57,-0.34,-0.75,-0.6,-0.57,-0.27,../test/Nasdaq/BIOC/BIOC.csv,
JASNW,Jason Industries  Inc.,,,null,,
COST,Costco Wholesale Corporation,Feb 28  2017 - Mar 7  ,138.57 - 178.71,1.22,1.73,1.19,1.36,1.24,1.77,1.17,1.17,../test/Nasdaq/COST/COST.csv,
ARRS,ARRIS International plc,,,null,,
HLG,Hailiang Education Group Inc.,,,null,,
FTXR,First Trust Nasdaq Transportati,,,null,,
CETC,CLEAN ENVIRO TECH,May 13  2016 - May 16  ,0.18 - 7.69,0.03,0.07,0.17,0.33,0.12,0.21,0.23,0.23,../test/Nasdaq/CETC/CETC.csv,
BSTG,Biostage  Inc.,Mar 15  2017 - Mar 20  ,0.29 - 2.86,-0.27,-0.23,-0.21,-0.25,-0.36,-0.18,-0.17,-0.18,../test/Nasdaq/BSTG/BSTG.csv,
CFFI,C F Financial Corporation,Apr 24  2017 - Apr 28  ,37.05 - 53.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CFFI/CFFI.csv,
AMPH,Amphastar Pharmaceuticals  Inc.,Mar 13  2017 - Mar 17  ,10.92 - 21.75,-0.04,-0.03,0.01,0.03,0.19,0.12,0.23,0.14,../test/Nasdaq/AMPH/AMPH.csv,
NGHCP,National General Holdings Corp,,,null,,
